Contig,Gene,log2-fold change (after/before drought),TAIR or Pfam ID,Symbol,Protein product of domain type
m01oak16463Cz,,-1.44,,,
m01oak18980Cz,,-1.44,,,
m01oak21083Cz,,-1.44,,,
m01oak17180Cz,,-1.44,,,
m01oak08843CC,m01oak08843CC-t01.1,-1.44,F:PF14226 D:PF03171,DIOX_N 2OG-FeII_Oxy,non-haem dioxygenase in morphine synthesis N-terminal ~ 2OG-Fe(II) oxygenase superfamily
m01oak12998Ct,,-1.44,,,
m01oak07577CC,m01oak07577CC-t01.1,-1.44,AT3G54750,,unknown protein
m01oak30518Cz,,-1.44,,,
m01oak17817cT,m01oak17817cT-t01.1,-1.44,AT2G21370,XK-1,xylulose kinase-1
m01oak18614cC,m01oak18614cC-t01.1,-1.44,AT1G72270,,unknown protein
m01oak31069Cz,,-1.44,,,
m01oak22183Cc,m01oak22183Cc-t01.1,-1.44,D:PF00931 r:PF00560,NB-ARC LRR_1,NB-ARC domain ~ Leucine Rich Repeat
m01oak36845Cz,,-1.44,,,
m01oak08519Cz,,-1.44,,,
m01oak10865Cz,,-1.44,,,
m01oak43958Cz,,-1.44,,,
m01oak14253Jz,,-1.44,,,
m01oak10687Cz,,-1.44,,,
m01oak14505Cz,,-1.44,,,
m01oak54295Cz,,-1.44,,,
m01oak15941Cz,,-1.44,,,
m01oak11512cf,m01oak11512cf-t01.1,-1.44,AT5G17570,,TatD related DNase
m01oak23269Cz,,-1.44,,,
m01oak52341Cz,,-1.45,,,
m01oak08583CF,m01oak08583CF-t01.1,-1.45,AT4G21430,B160,"Zinc finger, RING-type; Transcription factor jumonji/aspartyl beta-hydroxylase"
m01oak22772cF,,-1.45,,,
m01oak27062cc,m01oak27062cc-t01.1,-1.45,D:PF00166,2x:Cpn10,Chaperonin 10 Kd subunit
m01oak02228cC,m01oak02228cC-t01.1,-1.45,AT5G09760,,Plant invertase/pectin methylesterase inhibitor superfamily
m01oak04692cC,m01oak04692cC-t01.1,-1.45,D:PF00808 D:PF00125,CBFD_NFYB_HMF Histone,Histone-like transcription factor (CBF/NF-Y) and archaeal histone ~ Core histone H2A/H2B/H3/H4
m01oak10910CC,m01oak10910CC-t01.1,-1.45,F:PF02485,Branch,Core-2/I-Branching enzyme
m01oak24558Cz,,-1.45,,,
m01oak24124cC,m01oak24124cC-t01.1,-1.45,F:PF02701,zf-Dof,"Dof domain, zinc finger"
m01oak31883cC,m01oak31883cC-t01.1,-1.45,AT3G22830,HSFA6B,heat shock transcription factor A6B
m01oak17882CT,m01oak17882CT-t01.1,-1.45,F:PF05770,Ins134_P3_kin,"Inositol 1, 3, 4-trisphosphate 5/6-kinase"
m01oak38028cf,,-1.45,,,
m01oak06372Cf,m01oak06372Cf-t01.1,-1.45,F:PF08263 F:PF12799 r:PF13855 r:PF00560,LRRNT_2 LRR_4 LRR_8 3x:LRR_1,Leucine rich repeat N-terminal domain ~ Leucine Rich repeats (2 copies) ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak01586cC,m01oak01586cC-t01.1,-1.45,AT5G57490,VDAC4,voltage dependent anion channel 4
m01oak19098Cz,,-1.45,,,
m01oak48627cM,m01oak48627cM-t01.2,-1.45,F:PF07727,RVT_2,Reverse transcriptase (RNA-dependent DNA polymerase)
m01oak43730Cz,,-1.45,,,
m01oak16177Cz,,-1.45,,,
m01oak25060Cz,,-1.45,,,
m01oak20413Cz,,-1.45,,,
m01oak16836Ct,,-1.45,,,
m01oak15694Cz,,-1.45,,,
m01oak15623sT,m01oak15623sT-t01.1,-1.45,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak11900cC,m01oak11900cC-t01.1,-1.45,AT2G24350,,RNA binding (RRM/RBD/RNP motifs) family protein
m01oak71079Cz,,-1.45,,,
m01oak00842cT,m01oak00842cT-t01.1,-1.45,AT1G20330,SMT2,sterol methyltransferase 2
m01oak53129Cz,,-1.45,,,
m01oak08806Cz,m01oak08806Cz-t01.1,-1.45,r:PF00400,WD40,"WD domain, G-beta repeat"
m01oak16991cC,m01oak16991cC-t01.1,-1.45,D:PF00249,Myb_DNA-binding,Myb-like DNA-binding domain
m01oak33431Cz,,-1.45,,,
m01oak18026CM,m01oak18026CM-t01.1,-1.45,ATCG00680,PSBB,photosystem II reaction center protein B
m01oak10327Cz,,-1.45,,,
m01oak33765cf,m01oak33765cf-t01.1,-1.45,r:PF00560,LRR_1,Leucine Rich Repeat
m01oak30688Jm,,-1.45,,,
m01oak10565cC,m01oak10565cC-t01.1,-1.45,F:PF01207,Dus,Dihydrouridine synthase (Dus)
m01oak04989Cz,,-1.45,,,
m01oak09723cC,m01oak09723cC-t01.1,-1.45,AT5G53900,,Serine/threonine-protein kinase WNK (With No Lysine)-related
m01oak29460Cz,,-1.45,,,
m01oak20300Cz,,-1.45,,,
m01oak23287Ct,m01oak23287Ct-t01.1,-1.45,AT4G32450,,Pentatricopeptide repeat (PPR) superfamily protein
m01oak60986Cz,,-1.45,,,
m01oak24697Cz,,-1.45,,,
m01oak19877Cz,,-1.45,,,
m01oak03561CC,m01oak03561CC-t01.1,-1.45,F:PF06708,DUF1195,Protein of unknown function (DUF1195)
m01oak06385CC,m01oak06385CC-t01.1,-1.45,AT3G02750,,Protein phosphatase 2C family protein
m01oak34500Cz,,-1.45,,,
m01oak28396Cz,,-1.45,,,
m01oak18465cC,m01oak18465cC-t01.1,-1.45,r:PF13855 D:PF00931 r:PF00560,2x:LRR_8 NB-ARC LRR_1,Leucine rich repeat ~ NB-ARC domain ~ Leucine Rich Repeat
m01oak06892cC,m01oak06892cC-t01.1,-1.45,AT4G37460,SRFR1,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak15393Cz,,-1.45,,,
m01oak16656cf,m01oak16656cf-t01.1,-1.45,AT5G46850,,unknown protein
m01oak22346cF,,-1.45,,,
m01oak25225Cz,,-1.46,,,
m01oak14968cf,,-1.46,,,
m01oak46347Cz,,-1.46,,,
m01oak23993Cz,,-1.46,,,
m01oak16603CF,m01oak16603CF-t01.1,-1.46,AT1G03100,,Pentatricopeptide repeat (PPR) superfamily protein
m01oak07711CC,,-1.46,,,
m01oak51313Cz,,-1.46,,,
m01oak16955Jz,,-1.46,,,
m01oak00889cC,m01oak00889cC-t01.1,-1.46,F:PF12357 D:PF13091 F:PF00614 D:PF00168,PLD_C PLDc_2 2x:PLDc C2,Phospholipase D C terminal ~ PLD-like domain ~ Phospholipase D Active site motif ~ C2 domain
m01oak20794Cz,,-1.46,,,
m01oak53442Cz,,-1.46,,,
m01oak16305CF,m01oak16305CF-t01.1,-1.46,F:PF00954 D:PF01453,S_locus_glycop B_lectin,S-locus glycoprotein family ~ D-mannose binding lectin
m01oak08283JC,m01oak08283JC-t01.1,-1.46,AT3G48800,,Sterile alpha motif (SAM) domain-containing protein
m01oak03825CC,m01oak03825CC-t01.1,-1.46,AT1G19800,TGD1,trigalactosyldiacylglycerol 1
m01oak39172Cz,,-1.46,,,
m01oak73855Cz,,-1.46,,,
m01oak02611JC,m01oak02611JC-t01.1,-1.46,AT5G39040,TAP2,transporter associated with antigen processing protein 2
m01oak15915Ct,,-1.46,,,
m01oak70410Cz,,-1.46,,,
m01oak77929Cz,,-1.46,,,
m01oak35704Cz,,-1.46,,,
m01oak17730cT,m01oak17730cT-t01.1,-1.46,AT2G15820,OTP51,endonucleases
m01oak26999Ct,m01oak26999Ct-t01.1,-1.46,AT1G79120,,Ubiquitin carboxyl-terminal hydrolase family protein
m01oak20195cC,m01oak20195cC-t01.1,-1.46,D:PF06747,CHCH,CHCH domain
m01oak12634Cz,,-1.46,,,
m01oak12486JF,m01oak12486JF-t01.1,-1.46,F:PF08276 F:PF00954 D:PF01453,PAN_2 S_locus_glycop B_lectin,PAN-like domain ~ S-locus glycoprotein family ~ D-mannose binding lectin
m01oak21738Cz,,-1.46,,,
m01oak22796Cz,,-1.46,,,
m01oak14679Jt,m01oak14679Jt-t01.1,-1.46,F:PF00636 F:PF02170,Ribonuclease_3 PAZ,Ribonuclease III domain ~ PAZ domain
m01oak15841jC,m01oak15841jC-t01.1,-1.46,AT1G50730,,unknown protein
m01oak36843Jz,,-1.46,,,
m01oak03403Ct,m01oak03403Ct-t01.1,-1.46,AT1G47820,,unknown protein
m01oak32833Cz,,-1.46,,,
m01oak23500Cz,,-1.46,,,
m01oak01538CC,m01oak01538CC-t01.1,-1.46,AT5G12860,DiT1,dicarboxylate transporter 1
m01oak03300cC,m01oak03300cC-t01.1,-1.46,AT3G61620,RRP41,3'-5'-exoribonuclease family protein
m01oak17432CC,m01oak17432CC-t01.1,-1.46,AT1G51220,WIP5,WIP domain protein 5
m01oak03174CC,m01oak03174CC-t01.1,-1.46,AT4G03120,,C2H2 and C2HC zinc fingers superfamily protein
m01oak14699Cz,,-1.46,,,
m01oak11845Ct,m01oak11845Ct-t01.1,-1.46,F:PF04937 D:PF05699,DUF659 Dimer_Tnp_hAT,Protein of unknown function (DUF 659) ~ hAT family C-terminal dimerisation region
m01oak19504cC,m01oak19504cC-t01.1,-1.46,F:PF14215,2x:bHLH-MYC_N,bHLH-MYC and R2R3-MYB transcription factors N-terminal
m01oak22014Cz,,-1.46,,,
m01oak08199Cz,,-1.46,,,
m01oak14339ci,,-1.46,,,
m01oak31392Cz,,-1.46,,,
m01oak12954Cz,,-1.47,,,
m01oak20949cF,,-1.47,,,
m01oak45387Cz,,-1.47,,,
m01oak17396Cz,,-1.47,,,
m01oak04296cC,m01oak04296cC-t01.1,-1.47,AT2G46225,ABIL1,ABI-1-like 1
m01oak40974Cz,,-1.47,,,
m01oak10916cC,m01oak10916cC-t01.1,-1.47,AT2G17580,,Polynucleotide adenylyltransferase family protein
m01oak31043cF,m01oak31043cF-t01.1,-1.47,F:PF12799 D:PF00931,LRR_4 NB-ARC,Leucine Rich repeats (2 copies) ~ NB-ARC domain
m01oak05690sC,m01oak05690sC-t01.1,-1.47,AT5G53940,,Yippee family putative zinc-binding protein
m01oak79260Cz,,-1.47,,,
m01oak30712Cz,,-1.47,,,
m01oak24240cC,m01oak24240cC-t01.1,-1.47,F:PF14432,DYW_deaminase,DYW family of nucleic acid deaminases
m01oak15520Cz,,-1.47,,,
m01oak26745Cz,,-1.47,,,
m01oak03672CC,m01oak03672CC-t01.1,-1.47,AT5G66860,,"Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain"
m01oak04206JC,m01oak04206JC-t01.1,-1.47,AT4G03260,,Outer arm dynein light chain 1 protein
m01oak42134Jz,,-1.47,,,
m01oak03929cC,m01oak03929cC-t01.1,-1.47,AT3G03590,,SWIB/MDM2 domain superfamily protein
m01oak20817Cz,,-1.47,,,
m01oak31874Cz,,-1.47,,,
m01oak83635Cz,,-1.47,,,
m01oak38734Cz,,-1.47,,,
m01oak49669Cz,,-1.47,,,
m01oak17670Cz,,-1.47,,,
m01oak02431CC,m01oak02431CC-t01.1,-1.47,AT4G30950,FAD6,fatty acid desaturase 6
m01oak07896ct,,-1.47,,,
m01oak04442SC,m01oak04442SC-t01.1,-1.47,AT3G27050,,unknown protein
m01oak15159cc,,-1.47,,,
m01oak32397Cz,,-1.47,,,
m01oak50131CT,,-1.47,,,
m01oak38903Cz,,-1.47,,,
m01oak16411Ct,,-1.47,,,
m01oak16486cF,,-1.47,,,
m01oak04497cF,m01oak04497cF-t01.1,-1.47,D:PF00168,C2,C2 domain
m01oak08812CT,m01oak08812CT-t01.1,-1.47,AT4G35905,,unknown protein
m01oak07165Cz,,-1.47,,,
m01oak14632cT,m01oak14632cT-t01.1,-1.47,AT1G76050,,Pseudouridine synthase family protein
m01oak10398cF,m01oak10398cF-t01.1,-1.47,D:PF00005,ABC_tran,ABC transporter
m01oak83286Cz,,-1.47,,,
m01oak14110Cz,,-1.47,,,
m01oak00812Cf,m01oak00812Cf-t01.1,-1.47,AT1G02840,SR1,RNA-binding (RRM/RBD/RNP motifs) family protein
m01oak06256CC,m01oak06256CC-t01.1,-1.47,AT5G51410,,LUC7 N_terminus domain-containing protein
m01oak16286cC,m01oak16286cC-t01.1,-1.47,AT5G54180,PTAC15,plastid transcriptionally active 15
m01oak07681cf,,-1.47,,,
m01oak61609Cz,,-1.47,,,
m01oak26985cC,m01oak26985cC-t01.1,-1.47,AT3G53170,,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak01590cf,m01oak01590cf-t01.1,-1.47,D:PF00484,Pro_CA,Carbonic anhydrase
m01oak16647Cz,,-1.47,,,
m01oak55838Jt,,-1.47,,,
m01oak15503cC,m01oak15503cC-t01.1,-1.47,m:PF05033 D:PF02182 F:PF00856,Pre-SET SAD_SRA SET,Pre-SET motif ~ SAD/SRA domain ~ SET domain
m01oak15041Cz,,-1.47,,,
m01oak30764Cz,,-1.47,,,
m01oak24364Ct,,-1.48,,,
m01oak06397cC,m01oak06397cC-t01.1,-1.48,AT4G36850,,PQ-loop repeat family protein / transmembrane family protein
m01oak51531Cz,,-1.48,,,
m01oak57797Cz,,-1.48,,,
m01oak33170Cz,,-1.48,,,
m01oak11392Cz,m01oak11392Cz-t01.1,-1.48,AT5G02710,,unknown protein
m01oak03068cF,m01oak03068cF-t01.1,-1.48,F:PF00201,UDPGT,UDP-glucoronosyl and UDP-glucosyl transferase
m01oak25066Cz,,-1.48,,,
m01oak01328CC,m01oak01328CC-t01.1,-1.48,F:PF03737,Methyltransf_6,Demethylmenaquinone methyltransferase
m01oak07608cf,m01oak07608cf-t01.1,-1.48,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak04972Cz,,-1.48,,,
m01oak24328Cz,,-1.48,,,
m01oak38507sF,,-1.48,,,
m01oak05650cC,m01oak05650cC-t01.1,-1.48,AT5G48450,sks3,SKU5 similar 3
m01oak22309cf,m01oak22309cf-t01.1,-1.48,r:PF12854 r:PF13041 r:PF13812 F:PF01535,3x:PPR_1 9x:PPR_2 7x:PPR_3 11x:PPR,PPR repeat ~ PPR repeat family ~ Pentatricopeptide repeat domain ~ PPR repeat
m01oak19567Cz,,-1.48,,,
m01oak17567Cz,,-1.48,,,
m01oak22393Cc,m01oak22393Cc-t01.1,-1.48,AT1G21280,,unknown protein
m01oak22150Cz,,-1.48,,,
m01oak12201CT,,-1.48,,,
m01oak24911Cz,,-1.48,,,
m01oak29165Cz,,-1.48,,,
m01oak12477jC,m01oak12477jC-t01.1,-1.48,AT3G53180,,glutamate-ammonia ligases; catalytics; glutamate-ammonia ligases
m01oak39816Jz,,-1.48,,,
m01oak43940Jz,,-1.48,,,
m01oak21011Cz,,-1.48,,,
m01oak24272Cz,,-1.48,,,
m01oak28824cC,,-1.48,,,
m01oak07746CC,m01oak07746CC-t01.1,-1.48,D:PF00173,Cyt-b5,Cytochrome b5-like Heme/Steroid binding domain
m01oak44789Cz,,-1.48,,,
m01oak08284cf,,-1.48,,,
m01oak07753cC,m01oak07753cC-t01.1,-1.48,F:PF04670 D:PF00009 D:PF00071 F:PF08477 D:PF00025 F:PF01926,Gtr1_RagA GTP_EFTU Ras Miro Arf MMR_HSR1,Gtr1/RagA G protein conserved region ~ Elongation factor Tu GTP binding domain ~ Ras family ~ Miro-like protein ~ ADP-ribosylation factor family ~ 50S ribosome-binding GTPase
m01oak40431Cz,,-1.48,,,
m01oak18015cC,m01oak18015cC-t01.1,-1.48,D:PF10536,PMD,Plant mobile domain
m01oak32533Cz,,-1.48,,,
m01oak25867cF,,-1.48,,,
m01oak21278Cf,,-1.48,,,
m01oak09764cC,m01oak09764cC-t01.1,-1.48,AT5G03970,,F-box associated ubiquitination effector family protein
m01oak27727Cz,,-1.48,,,
m01oak05763cC,m01oak05763cC-t01.1,-1.48,AT4G34260,FUC95A,"1,2-alpha-L-fucosidases"
m01oak13633cC,m01oak13633cC-t01.1,-1.48,AT3G17590,BSH,"transcription regulatory protein SNF5, putative (BSH)"
m01oak01646cF,,-1.48,,,
m01oak23587CC,m01oak23587CC-t01.1,-1.48,AT5G06810,,Mitochondrial transcription termination factor family protein
m01oak43656Jm,"m01oak43656Jm-t01.2, t01.3",-1.48,"F:PF03732 F:PF00078, D:PF00665 D:PF13456","Retrotrans_gag RVT_1, rve RVT_3","Retrotransposon gag protein ~ Reverse transcriptase (RNA-dependent DNA polymerase), Integrase core domain ~ Reverse transcriptase-like"
m01oak08682Ci,,-1.48,,,
m01oak28055cC,m01oak28055cC-t01.1,-1.48,AT3G09780,CCR1,CRINKLY4 related 1
m01oak30039Cz,,-1.48,,,
m01oak17976Cz,,-1.49,,,
m01oak04734CC,m01oak04734CC-t01.1,-1.49,AT3G02720,,Class I glutamine amidotransferase-like superfamily protein
m01oak01958CC,,-1.49,,,
m01oak47974Cz,,-1.49,,,
m01oak53327Cm,,-1.49,,,
m01oak14076cC,m01oak14076cC-t01.1,-1.49,D:PF08240 F:PF00107,ADH_N ADH_zinc_N,Alcohol dehydrogenase GroES-like domain ~ Zinc-binding dehydrogenase
m01oak05054cf,m01oak05054cf-t01.1,-1.49,AT1G48520,GATB,GLU-ADT subunit B
m01oak29256Cz,,-1.49,,,
m01oak19268cC,m01oak19268cC-t01.1,-1.49,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak11854Cz,m01oak11854Cz-t01.1,-1.49,F:PF03737,Methyltransf_6,Demethylmenaquinone methyltransferase
m01oak14048CT,,-1.49,,,
m01oak16145Cz,,-1.49,,,
m01oak31878Cz,,-1.49,,,
m01oak33619cC,m01oak33619cC-t01.1,-1.49,AT1G74400,,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak13799cC,,-1.49,,,
m01oak24106Cz,,-1.49,,,
m01oak23456Cz,,-1.49,,,
m01oak37299Cz,,-1.49,,,
m01oak10191Cz,,-1.49,,,
m01oak51569Cz,,-1.49,,,
m01oak14117Cz,,-1.49,,,
m01oak11939Cz,,-1.49,,,
m01oak00609cC,,-1.49,,,
m01oak26408cF,,-1.49,,,
m01oak00876CC,m01oak00876CC-t01.1,-1.49,AT2G26280,CID7,CTC-interacting domain 7
m01oak10434cC,m01oak10434cC-t01.1,-1.49,AT5G37290,,ARM repeat superfamily protein
m01oak24773cC,"m01oak24773cC-t01.1, t01.2",-1.49,"D:PF03947, F:PF05695 F:PF00004","Ribosomal_L2_C, 2x:DUF825 AAA","Ribosomal Proteins L2, C-terminal domain, Plant protein of unknown function (DUF825) ~ ATPase family associated with various cellular activities (AAA)"
m01oak05707CC,m01oak05707CC-t01.1,-1.49,AT5G54380,THE1,protein kinase family protein
m01oak50374Ct,,-1.49,,,
m01oak15258Cz,,-1.49,,,
m01oak24139cT,,-1.49,,,
m01oak28171Cz,,-1.49,,,
m01oak04392cC,m01oak04392cC-t01.1,-1.49,D:PF13561 F:PF08659 D:PF00106,adh_short_C2 KR adh_short,Enoyl-(Acyl carrier protein) reductase ~ KR domain ~ short chain dehydrogenase
m01oak19235cF,m01oak19235cF-t01.1,-1.49,F:PF01425,Amidase,Amidase
m01oak02365CC,m01oak02365CC-t01.1,-1.49,F:PF03552,Cellulose_synt,Cellulose synthase
m01oak05673CC,m01oak05673CC-t01.1,-1.49,AT5G13240,,transcription regulators
m01oak20484Cz,,-1.49,,,
m01oak08588cC,m01oak08588cC-t01.1,-1.49,AT3G11760,,unknown protein
m01oak11658CC,m01oak11658CC-t01.1,-1.49,AT3G01490,,Protein kinase superfamily protein
m01oak27015Cz,,-1.49,,,
m01oak45917Jz,,-1.49,,,
m01oak35864Cz,,-1.49,,,
m01oak19949Cz,,-1.49,,,
m01oak19174cC,,-1.49,,,
m01oak46380Cf,,-1.50,,,
m01oak14689Cz,,-1.50,,,
m01oak31325Cz,,-1.50,,,
m01oak58406Cz,,-1.50,,,
m01oak41323Cz,,-1.50,,,
m01oak17283Cz,,-1.50,,,
m01oak24587Cz,,-1.50,,,
m01oak29970Cz,,-1.50,,,
m01oak10857Cz,,-1.50,,,
m01oak36475Cz,,-1.50,,,
m01oak14564Cz,,-1.50,,,
m01oak02574Ct,m01oak02574Ct-t01.1,-1.50,AT5G53070,,Ribosomal protein L9/RNase H1
m01oak04425CC,m01oak04425CC-t01.1,-1.50,D:PF12937,F-box-like,F-box-like
m01oak37666Cz,,-1.50,,,
m01oak10039cC,m01oak10039cC-t01.1,-1.50,D:PF12627 D:PF01743,PolyA_pol_RNAbd PolyA_pol,Probable RNA and SrmB- binding site of polymerase A ~ Poly A polymerase head domain
m01oak50438Cz,,-1.50,,,
m01oak48462Cz,,-1.50,,,
m01oak27707cF,m01oak27707cF-t01.1,-1.50,D:PF00646,F-box,F-box domain
m01oak19986CC,m01oak19986CC-t01.1,-1.50,F:PF12799 r:PF13516 r:PF13855 r:PF00560,LRR_4 2x:LRR_6 2x:LRR_8 2x:LRR_1,Leucine Rich repeats (2 copies) ~ Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak24396CC,m01oak24396CC-t01.1,-1.50,F:PF01734,Patatin,Patatin-like phospholipase
m01oak34572Jz,,-1.50,,,
m01oak12973cf,m01oak12973cf-t01.1,-1.50,D:PF02892,zf-BED,BED zinc finger
m01oak47095Jz,,-1.50,,,
m01oak02753cC,m01oak02753cC-t01.1,-1.50,AT4G26370,,antitermination NusB domain-containing protein
m01oak31905Cz,,-1.50,,,
m01oak07111CC,m01oak07111CC-t01.1,-1.50,D:PF00092 F:PF12678 D:PF00097 D:PF13639,VWA zf-rbx1 zf-C3HC4 zf-RING_2,"von Willebrand factor type A domain ~ RING-H2 zinc finger ~ Zinc finger, C3HC4 type (RING finger) ~ Ring finger domain"
m01oak04697cT,,-1.50,,,
m01oak16805CC,m01oak16805CC-t01.1,-1.50,AT2G04790,,unknown protein
m01oak40817Cz,,-1.50,,,
m01oak12490Cz,,-1.50,,,
m01oak05104Cz,m01oak05104Cz-t01.1,-1.50,AT4G33160,,F-box family protein
m01oak23185cC,,-1.50,,,
m01oak00335CC,m01oak00335CC-t01.1,-1.50,D:PF03953 D:PF00091,Tubulin_C Tubulin,"Tubulin C-terminal domain ~ Tubulin/FtsZ family, GTPase domain"
m01oak24650CT,m01oak24650CT-t01.1,-1.50,D:PF07983,X8,X8 domain
m01oak10261Cz,m01oak10261Cz-t01.1,-1.50,D:PF03171,2OG-FeII_Oxy,2OG-Fe(II) oxygenase superfamily
m01oak35691Cz,,-1.50,,,
m01oak29178Jt,m01oak29178Jt-t01.1,-1.50,AT3G18310,,unknown protein
m01oak32500Cz,,-1.50,,,
m01oak43950Cz,,-1.50,,,
m01oak03479Cz,,-1.50,,,
m01oak22868cC,m01oak22868cC-t01.1,-1.50,AT1G09540,MYB61,myb domain protein 61
m01oak14324Cz,,-1.50,,,
m01oak16833CT,,-1.50,,,
m01oak11980cF,m01oak11980cF-t01.1,-1.50,AT5G41980,,unknown protein
m01oak06020CC,m01oak06020CC-t01.1,-1.50,AT5G27830,,unknown protein
m01oak43868Cz,,-1.50,,,
m01oak17566jC,m01oak17566jC-t01.1,-1.50,AT5G64520,XRCC2,homolog of X-ray repair cross complementing 2 (XRCC2)
m01oak20079Cz,,-1.50,,,
m01oak10647cC,m01oak10647cC-t01.1,-1.50,D:PF06217,GAGA_bind,GAGA binding protein-like family
m01oak05759CC,m01oak05759CC-t01.1,-1.50,AT5G24400,EMB2024,NagB/RpiA/CoA transferase-like superfamily protein
m01oak36535Cz,,-1.50,,,
m01oak20551cC,m01oak20551cC-t01.1,-1.50,AT1G03310,DBE1,debranching enzyme 1
m01oak18486Cz,,-1.50,,,
m01oak73215jf,m01oak73215jf-t01.1,-1.50,F:PF00078,RVT_1,Reverse transcriptase (RNA-dependent DNA polymerase)
m01oak26355cf,,-1.50,,,
m01oak01123Cz,m01oak01123Cz-t01.1,-1.51,AT2G46330,AGP16,arabinogalactan protein 16
m01oak18203Ct,m01oak18203Ct-t01.1,-1.51,D:PF00254,FKBP_C,FKBP-type peptidyl-prolyl cis-trans isomerase
m01oak34163Cz,,-1.51,,,
m01oak67384CT,,-1.51,,,
m01oak36068Cz,,-1.51,,,
m01oak13477Ct,m01oak13477Ct-t01.1,-1.51,AT5G17660,,tRNA (guanine-N-7) methyltransferase
m01oak34477Jz,,-1.51,,,
m01oak11330cm,m01oak11330cm-t01.1,-1.51,AT5G51690,ACS12,1-amino-cyclopropane-1-carboxylate synthase 12
m01oak22888Cz,,-1.51,,,
m01oak22788Cz,,-1.51,,,
m01oak08405cF,m01oak08405cF-t01.1,-1.51,AT1G53345,,unknown protein
m01oak19034CF,m01oak19034CF-t01.1,-1.51,AT5G11590,TINY2,Integrase-type DNA-binding superfamily protein
m01oak04932Cz,m01oak04932Cz-t01.1,-1.51,D:PF00112,Peptidase_C1,Papain family cysteine protease
m01oak15946Cz,,-1.51,,,
m01oak17081CC,m01oak17081CC-t01.1,-1.51,AT4G02405,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
m01oak03937CC,m01oak03937CC-t01.1,-1.51,AT2G25870,,haloacid dehalogenase-like hydrolase family protein
m01oak52697Cz,,-1.51,,,
m01oak19733cC,m01oak19733cC-t01.1,-1.51,D:PF04434 D:PF03101 D:PF10551,SWIM FAR1 MULE,SWIM zinc finger ~ FAR1 DNA-binding domain ~ MULE transposase domain
m01oak19019cC,m01oak19019cC-t01.1,-1.51,AT2G02820,MYB88,myb domain protein 88
m01oak24097Ci,m01oak24097Ci-t01.1,-1.51,r:PF13041 r:PF13812 F:PF01535,PPR_2 PPR_3 4x:PPR,PPR repeat family ~ Pentatricopeptide repeat domain ~ PPR repeat
m01oak38970Cz,,-1.51,,,
m01oak40531Cz,,-1.51,,,
m01oak06983Cz,,-1.51,,,
m01oak24724Cz,,-1.51,,,
m01oak50313Cz,,-1.51,,,
m01oak05469Cf,m01oak05469Cf-t01.1,-1.51,AT2G39080,,NAD(P)-binding Rossmann-fold superfamily protein
m01oak11306Cc,m01oak11306Cc-t01.1,-1.51,AT3G15140,,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
m01oak16027cC,m01oak16027cC-t01.1,-1.51,AT5G37570,,Pentatricopeptide repeat (PPR-like) superfamily protein
m01oak03751Ct,m01oak03751Ct-t01.1,-1.51,D:PF13456,RVT_3,Reverse transcriptase-like
m01oak61018Jt,m01oak61018Jt-t01.1,-1.51,r:PF13504 r:PF00560,LRR_7 LRR_1,Leucine rich repeat ~ Leucine Rich Repeat
m01oak10835CC,m01oak10835CC-t01.1,-1.51,AT1G57540,,unknown protein
m01oak34233Cz,,-1.51,,,
m01oak17572cf,,-1.51,,,
m01oak04401cC,,-1.51,,,
m01oak48607CC,,-1.51,,,
m01oak17520Cz,,-1.51,,,
m01oak23335Jz,,-1.51,,,
m01oak21442jC,m01oak21442jC-t01.1,-1.51,AT1G26500,,Pentatricopeptide repeat (PPR) superfamily protein
m01oak08221cC,m01oak08221cC-t01.1,-1.51,AT1G51720,,Amino acid dehydrogenase family protein
m01oak20519jM,m01oak20519jM-t01.2,-1.51,AT4G38210,EXPA20,expansin A20
m01oak17205CC,m01oak17205CC-t01.1,-1.51,AT4G11090,TBL23,TRICHOME BIREFRINGENCE-LIKE 23
m01oak53551Cz,,-1.51,,,
m01oak13871CC,m01oak13871CC-t01.1,-1.51,AT2G03620,MGT3,magnesium transporter 3
m01oak06287cC,m01oak06287cC-t01.1,-1.51,F:PF14215,bHLH-MYC_N,bHLH-MYC and R2R3-MYB transcription factors N-terminal
m01oak05907Cz,,-1.51,,,
m01oak30709Cz,,-1.51,,,
m01oak05405CC,m01oak05405CC-t01.1,-1.51,AT3G63300,FKD1,FORKED 1
m01oak08897CC,m01oak08897CC-t01.1,-1.51,AT1G10310,,NAD(P)-binding Rossmann-fold superfamily protein
